7.70E-05,0.00016058,0.000247209,0.000299723,0.000335835,0.000360871,0.00037806,0.000389948,0.000398405,0.000404561,0.000409132,0.000412568,0.00041516,0.000417102,0.000418526,0.00041952,0.000420147,0.000420446,0.000420436,0.000420122,0.000419484,0.00041848,0.000417018,0.000414965,0.000412015,0.000407808,0.000401204,0.000391232,0.000374373,0.000351163,0.000295394,0.000201566,0.000195913
-0.000693525,-0.000617907,-0.000539261,-0.000493874,-0.000462656,-0.000440244,-0.000424302,-0.000412897,-0.000404575,-0.000398412,-0.0003938,-0.000390339,-0.000387758,-0.000385872,-0.000384552,-0.000383709,-0.000383283,-0.000383236,-0.00038355,-0.000384225,-0.000385286,-0.000386782,-0.00038881,-0.000391512,-0.000395167,-0.000400136,-0.000407302,-0.00041762,-0.000433363,-0.000454437,-0.000500025,-0.000587414,-0.000586622
-0.000260937,-0.000193301,-0.000122636,-8.44E-05,-5.80E-05,-3.82E-05,-2.35E-05,-1.26E-05,-4.35E-06,1.87E-06,6.59E-06,1.01E-05,1.28E-05,1.47E-05,1.61E-05,1.69E-05,1.73E-05,1.73E-05,1.69E-05,1.61E-05,1.48E-05,1.31E-05,1.08E-05,7.83E-06,3.85E-06,-1.48E-06,-8.77E-06,-1.90E-05,-3.31E-05,-5.15E-05,-8.63E-05,-0.000166615,-0.000158709
1.49E-05,9.48E-07,-9.93E-06,1.59E-06,1.63E-05,2.94E-05,4.04E-05,4.94E-05,5.67E-05,6.25E-05,6.71E-05,7.08E-05,7.37E-05,7.61E-05,7.78E-05,7.92E-05,8.01E-05,8.07E-05,8.09E-05,8.08E-05,8.04E-05,7.95E-05,7.81E-05,7.61E-05,7.34E-05,6.96E-05,6.47E-05,5.81E-05,5.02E-05,4.24E-05,3.26E-05,2.05E-05,9.68E-05
4.24E-06,-5.13E-06,-1.15E-05,-8.36E-06,-1.17E-06,6.68E-06,1.42E-05,2.09E-05,2.67E-05,3.16E-05,3.56E-05,3.89E-05,4.16E-05,4.38E-05,4.55E-05,4.68E-05,4.78E-05,4.84E-05,4.87E-05,4.87E-05,4.84E-05,4.77E-05,4.66E-05,4.50E-05,4.30E-05,4.03E-05,3.71E-05,3.33E-05,2.96E-05,2.83E-05,2.61E-05,1.02E-05,8.28E-05
2.54E-05,1.24E-05,2.57E-06,1.65E-06,4.64E-06,9.04E-06,1.39E-05,1.87E-05,2.30E-05,2.69E-05,3.02E-05,3.30E-05,3.53E-05,3.72E-05,3.87E-05,3.99E-05,4.08E-05,4.13E-05,4.16E-05,4.16E-05,4.13E-05,4.07E-05,3.98E-05,3.86E-05,3.71E-05,3.53E-05,3.34E-05,3.14E-05,3.01E-05,3.19E-05,3.27E-05,1.85E-05,9.33E-05
3.27E-05,2.30E-05,1.65E-05,1.42E-05,1.48E-05,1.70E-05,1.99E-05,2.30E-05,2.62E-05,2.91E-05,3.17E-05,3.40E-05,3.60E-05,3.76E-05,3.90E-05,4.00E-05,4.08E-05,4.14E-05,4.17E-05,4.18E-05,4.16E-05,4.12E-05,4.07E-05,3.99E-05,3.90E-05,3.80E-05,3.71E-05,3.64E-05,3.67E-05,3.99E-05,4.14E-05,2.32E-05,9.46E-05
4.01E-05,3.08E-05,2.47E-05,2.17E-05,2.09E-05,2.15E-05,2.30E-05,2.49E-05,2.71E-05,2.92E-05,3.12E-05,3.30E-05,3.46E-05,3.59E-05,3.71E-05,3.80E-05,3.87E-05,3.92E-05,3.96E-05,3.97E-05,3.97E-05,3.96E-05,3.93E-05,3.89E-05,3.85E-05,3.81E-05,3.80E-05,3.81E-05,3.93E-05,4.33E-05,4.50E-05,2.53E-05,9.63E-05
4.14E-05,3.36E-05,2.90E-05,2.59E-05,2.44E-05,2.41E-05,2.46E-05,2.56E-05,2.69E-05,2.84E-05,2.98E-05,3.11E-05,3.24E-05,3.35E-05,3.44E-05,3.52E-05,3.58E-05,3.63E-05,3.66E-05,3.68E-05,3.69E-05,3.69E-05,3.69E-05,3.68E-05,3.67E-05,3.68E-05,3.71E-05,3.78E-05,3.93E-05,4.35E-05,4.49E-05,2.29E-05,9.27E-05
4.21E-05,3.51E-05,3.13E-05,2.82E-05,2.63E-05,2.54E-05,2.53E-05,2.57E-05,2.63E-05,2.72E-05,2.81E-05,2.91E-05,3.00E-05,3.08E-05,3.16E-05,3.22E-05,3.27E-05,3.31E-05,3.35E-05,3.37E-05,3.39E-05,3.40E-05,3.41E-05,3.42E-05,3.44E-05,3.48E-05,3.54E-05,3.63E-05,3.80E-05,4.21E-05,4.30E-05,1.94E-05,8.90E-05
4.12E-05,3.49E-05,3.18E-05,2.89E-05,2.69E-05,2.56E-05,2.50E-05,2.49E-05,2.51E-05,2.55E-05,2.60E-05,2.66E-05,2.73E-05,2.78E-05,2.84E-05,2.89E-05,2.93E-05,2.97E-05,3.00E-05,3.02E-05,3.04E-05,3.06E-05,3.09E-05,3.11E-05,3.15E-05,3.20E-05,3.28E-05,3.38E-05,3.54E-05,3.93E-05,3.98E-05,1.45E-05,8.42E-05
3.95E-05,3.35E-05,3.09E-05,2.83E-05,2.61E-05,2.47E-05,2.38E-05,2.33E-05,2.31E-05,2.32E-05,2.34E-05,2.37E-05,2.41E-05,2.45E-05,2.48E-05,2.52E-05,2.55E-05,2.58E-05,2.61E-05,2.63E-05,2.65E-05,2.68E-05,2.71E-05,2.74E-05,2.79E-05,2.85E-05,2.93E-05,3.03E-05,3.17E-05,3.54E-05,3.55E-05,8.70E-06,7.92E-05
3.67E-05,3.11E-05,2.90E-05,2.64E-05,2.43E-05,2.27E-05,2.16E-05,2.09E-05,2.05E-05,2.03E-05,2.02E-05,2.03E-05,2.04E-05,2.06E-05,2.08E-05,2.10E-05,2.13E-05,2.15E-05,2.17E-05,2.19E-05,2.22E-05,2.24E-05,2.27E-05,2.31E-05,2.36E-05,2.42E-05,2.50E-05,2.59E-05,2.72E-05,3.06E-05,3.04E-05,2.07E-06,7.37E-05
3.33E-05,2.79E-05,2.60E-05,2.36E-05,2.15E-05,1.99E-05,1.87E-05,1.78E-05,1.71E-05,1.67E-05,1.65E-05,1.63E-05,1.63E-05,1.63E-05,1.64E-05,1.65E-05,1.66E-05,1.68E-05,1.69E-05,1.71E-05,1.73E-05,1.76E-05,1.79E-05,1.82E-05,1.87E-05,1.93E-05,2.00E-05,2.08E-05,2.19E-05,2.51E-05,2.46E-05,-5.24E-06,6.81E-05
2.90E-05,2.38E-05,2.22E-05,2.00E-05,1.79E-05,1.63E-05,1.50E-05,1.39E-05,1.32E-05,1.26E-05,1.22E-05,1.19E-05,1.17E-05,1.15E-05,1.15E-05,1.15E-05,1.15E-05,1.16E-05,1.17E-05,1.18E-05,1.20E-05,1.22E-05,1.25E-05,1.28E-05,1.32E-05,1.38E-05,1.44E-05,1.51E-05,1.60E-05,1.90E-05,1.82E-05,-1.32E-05,6.22E-05
2.42E-05,1.91E-05,1.77E-05,1.56E-05,1.36E-05,1.19E-05,1.06E-05,9.47E-06,8.57E-06,7.86E-06,7.30E-06,6.87E-06,6.55E-06,6.31E-06,6.15E-06,6.04E-06,5.98E-06,5.96E-06,5.99E-06,6.06E-06,6.18E-06,6.34E-06,6.57E-06,6.85E-06,7.21E-06,7.67E-06,8.22E-06,8.75E-06,9.45E-06,1.24E-05,1.14E-05,-2.17E-05,5.63E-05
1.88E-05,1.37E-05,1.26E-05,1.06E-05,8.58E-06,6.95E-06,5.56E-06,4.38E-06,3.40E-06,2.59E-06,1.93E-06,1.39E-06,9.55E-07,6.11E-07,3.44E-07,1.43E-07,0,-9.09E-08,-1.33E-07,-1.26E-07,-7.11E-08,3.53E-08,1.97E-07,4.19E-07,7.05E-07,1.07E-06,1.52E-06,1.91E-06,2.44E-06,5.25E-06,4.08E-06,-3.08E-05,5.02E-05
1.28E-05,7.75E-06,6.83E-06,4.91E-06,2.98E-06,1.36E-06,-4.08E-08,-1.26E-06,-2.30E-06,-3.19E-06,-3.94E-06,-4.58E-06,-5.10E-06,-5.54E-06,-5.90E-06,-6.18E-06,-6.41E-06,-6.57E-06,-6.69E-06,-6.75E-06,-6.76E-06,-6.72E-06,-6.62E-06,-6.48E-06,-6.27E-06,-6.00E-06,-5.67E-06,-5.40E-06,-5.02E-06,-2.29E-06,-3.60E-06,-4.04E-05,4.40E-05
6.34E-06,1.27E-06,5.47E-07,-1.27E-06,-3.16E-06,-4.76E-06,-6.17E-06,-7.41E-06,-8.51E-06,-9.46E-06,-1.03E-05,-1.10E-05,-1.16E-05,-1.21E-05,-1.26E-05,-1.29E-05,-1.32E-05,-1.35E-05,-1.37E-05,-1.38E-05,-1.39E-05,-1.39E-05,-1.39E-05,-1.38E-05,-1.37E-05,-1.35E-05,-1.33E-05,-1.31E-05,-1.29E-05,-1.02E-05,-1.16E-05,-5.05E-05,3.78E-05
-5.72E-07,-5.67E-06,-6.21E-06,-7.94E-06,-9.78E-06,-1.14E-05,-1.28E-05,-1.40E-05,-1.52E-05,-1.62E-05,-1.71E-05,-1.78E-05,-1.85E-05,-1.91E-05,-1.96E-05,-2.01E-05,-2.05E-05,-2.08E-05,-2.10E-05,-2.12E-05,-2.14E-05,-2.15E-05,-2.15E-05,-2.15E-05,-2.15E-05,-2.14E-05,-2.13E-05,-2.13E-05,-2.12E-05,-1.85E-05,-2.00E-05,-6.11E-05,3.16E-05
-7.88E-06,-1.30E-05,-1.34E-05,-1.50E-05,-1.68E-05,-1.84E-05,-1.98E-05,-2.11E-05,-2.22E-05,-2.33E-05,-2.43E-05,-2.51E-05,-2.59E-05,-2.65E-05,-2.71E-05,-2.76E-05,-2.81E-05,-2.84E-05,-2.88E-05,-2.90E-05,-2.92E-05,-2.94E-05,-2.95E-05,-2.96E-05,-2.97E-05,-2.97E-05,-2.97E-05,-2.98E-05,-2.98E-05,-2.71E-05,-2.88E-05,-7.23E-05,2.54E-05
-1.55E-05,-2.08E-05,-2.09E-05,-2.25E-05,-2.43E-05,-2.58E-05,-2.72E-05,-2.85E-05,-2.97E-05,-3.08E-05,-3.18E-05,-3.27E-05,-3.35E-05,-3.43E-05,-3.49E-05,-3.55E-05,-3.60E-05,-3.65E-05,-3.68E-05,-3.72E-05,-3.75E-05,-3.77E-05,-3.79E-05,-3.81E-05,-3.82E-05,-3.84E-05,-3.84E-05,-3.86E-05,-3.88E-05,-3.61E-05,-3.78E-05,-8.39E-05,1.91E-05
-2.35E-05,-2.88E-05,-2.88E-05,-3.03E-05,-3.20E-05,-3.35E-05,-3.49E-05,-3.63E-05,-3.75E-05,-3.87E-05,-3.97E-05,-4.07E-05,-4.16E-05,-4.24E-05,-4.31E-05,-4.37E-05,-4.43E-05,-4.48E-05,-4.53E-05,-4.57E-05,-4.60E-05,-4.63E-05,-4.66E-05,-4.69E-05,-4.71E-05,-4.73E-05,-4.75E-05,-4.78E-05,-4.81E-05,-4.54E-05,-4.71E-05,-9.61E-05,1.29E-05
-3.17E-05,-3.72E-05,-3.69E-05,-3.83E-05,-4.00E-05,-4.15E-05,-4.30E-05,-4.43E-05,-4.56E-05,-4.68E-05,-4.79E-05,-4.90E-05,-4.99E-05,-5.08E-05,-5.16E-05,-5.23E-05,-5.29E-05,-5.35E-05,-5.40E-05,-5.44E-05,-5.48E-05,-5.52E-05,-5.56E-05,-5.59E-05,-5.62E-05,-5.66E-05,-5.69E-05,-5.73E-05,-5.78E-05,-5.50E-05,-5.68E-05,-0.000108836,6.60E-06
-4.01E-05,-4.57E-05,-4.52E-05,-4.66E-05,-4.83E-05,-4.98E-05,-5.12E-05,-5.26E-05,-5.39E-05,-5.52E-05,-5.64E-05,-5.75E-05,-5.86E-05,-5.95E-05,-6.04E-05,-6.11E-05,-6.18E-05,-6.24E-05,-6.30E-05,-6.35E-05,-6.39E-05,-6.44E-05,-6.48E-05,-6.52E-05,-6.56E-05,-6.60E-05,-6.65E-05,-6.71E-05,-6.77E-05,-6.49E-05,-6.69E-05,-0.00012217,2.44E-07
-4.85E-05,-5.44E-05,-5.37E-05,-5.50E-05,-5.67E-05,-5.82E-05,-5.97E-05,-6.11E-05,-6.25E-05,-6.38E-05,-6.51E-05,-6.63E-05,-6.74E-05,-6.85E-05,-6.94E-05,-7.02E-05,-7.10E-05,-7.16E-05,-7.22E-05,-7.28E-05,-7.33E-05,-7.37E-05,-7.42E-05,-7.47E-05,-7.52E-05,-7.57E-05,-7.63E-05,-7.71E-05,-7.80E-05,-7.52E-05,-7.73E-05,-0.000136065,-6.05E-06
-5.72E-05,-6.32E-05,-6.23E-05,-6.35E-05,-6.52E-05,-6.67E-05,-6.82E-05,-6.97E-05,-7.12E-05,-7.27E-05,-7.40E-05,-7.53E-05,-7.65E-05,-7.76E-05,-7.87E-05,-7.96E-05,-8.04E-05,-8.11E-05,-8.17E-05,-8.23E-05,-8.28E-05,-8.33E-05,-8.38E-05,-8.43E-05,-8.49E-05,-8.56E-05,-8.63E-05,-8.74E-05,-8.85E-05,-8.58E-05,-8.83E-05,-0.000150911,-1.29E-05
-6.54E-05,-7.19E-05,-7.09E-05,-7.21E-05,-7.38E-05,-7.54E-05,-7.70E-05,-7.86E-05,-8.02E-05,-8.17E-05,-8.32E-05,-8.46E-05,-8.59E-05,-8.71E-05,-8.82E-05,-8.92E-05,-9.01E-05,-9.08E-05,-9.15E-05,-9.21E-05,-9.26E-05,-9.31E-05,-9.36E-05,-9.42E-05,-9.48E-05,-9.56E-05,-9.66E-05,-9.79E-05,-9.95E-05,-9.72E-05,-0.000100221,-0.000166616,-1.98E-05
-7.42E-05,-8.08E-05,-7.94E-05,-8.06E-05,-8.23E-05,-8.40E-05,-8.56E-05,-8.73E-05,-8.91E-05,-9.08E-05,-9.24E-05,-9.39E-05,-9.54E-05,-9.67E-05,-9.79E-05,-9.90E-05,-9.99E-05,-0.000100719,-0.000101404,-0.000101991,-0.000102506,-0.000102982,-0.000103465,-0.00010401,-0.000104687,-0.000105562,-0.000106704,-0.000108426,-0.000110613,-0.000108818,-0.000113048,-0.000184453,-2.92E-05
-8.00E-05,-8.77E-05,-8.69E-05,-8.79E-05,-8.97E-05,-9.13E-05,-9.31E-05,-9.50E-05,-9.68E-05,-9.87E-05,-0.000100467,-0.000102144,-0.000103695,-0.000105101,-0.000106348,-0.000107428,-0.000108337,-0.00010908,-0.000109668,-0.000110119,-0.00011046,-0.00011073,-0.000110981,-0.000111283,-0.00011173,-0.000112425,-0.000113508,-0.000115388,-0.000118095,-0.000117065,-0.000123162,-0.000198273,-3.25E-05
-9.76E-05,-0.000102439,-9.82E-05,-9.84E-05,-9.99E-05,-0.0001016,-0.000103456,-0.000105448,-0.000107486,-0.000109507,-0.000111464,-0.000113316,-0.000115033,-0.000116591,-0.000117972,-0.000119165,-0.000120165,-0.000120975,-0.000121604,-0.00012207,-0.000122401,-0.000122637,-0.000122839,-0.000123084,-0.000123498,-0.00012421,-0.000125487,-0.000127822,-0.00013169,-0.000132442,-0.00014495,-0.000233407,-6.59E-05
-0.000119319,-0.000126013,-0.000122993,-0.000123359,-0.000125433,-0.000127541,-0.000129933,-0.000132511,-0.000135225,-0.000137999,-0.0001408,-0.000143592,-0.000146353,-0.000149064,-0.000151715,-0.000154302,-0.000156828,-0.000159298,-0.000161729,-0.000164141,-0.000166566,-0.000169045,-0.000171643,-0.000174423,-0.000177554,-0.000181075,-0.000185535,-0.000190981,-0.000199317,-0.000202985,-0.000228956,-0.000324286,-0.000147784
-8.19E-05,-9.05E-05,-8.86E-05,-8.91E-05,-9.14E-05,-9.35E-05,-9.58E-05,-9.81E-05,-0.000100323,-0.000102364,-0.000104158,-0.000105639,-0.000106754,-0.000107458,-0.000107715,-0.000107493,-0.000106769,-0.000105528,-0.000103761,-0.000101465,-9.87E-05,-9.53E-05,-9.16E-05,-8.74E-05,-8.30E-05,-7.83E-05,-7.41E-05,-7.00E-05,-6.94E-05,-6.17E-05,-8.61E-05,-0.000172402,2.98E-05
