0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-1.31E-05,-1.65E-05,-1.52E-05,-1.32E-05,-1.13E-05,-9.51E-06,-8.00E-06,-6.72E-06,-5.65E-06,-4.74E-06,-3.97E-06,-3.29E-06,-2.69E-06,-2.16E-06,-1.67E-06,-1.22E-06,-7.82E-07,-3.54E-07,8.15E-08,5.39E-07,1.04E-06,1.61E-06,2.28E-06,3.11E-06,4.15E-06,5.50E-06,7.24E-06,9.46E-06,1.26E-05,1.55E-05,1.05E-05,0
0,-1.50E-05,-2.04E-05,-2.05E-05,-1.93E-05,-1.75E-05,-1.55E-05,-1.36E-05,-1.18E-05,-1.02E-05,-8.77E-06,-7.48E-06,-6.33E-06,-5.28E-06,-4.33E-06,-3.45E-06,-2.61E-06,-1.81E-06,-1.02E-06,-2.13E-07,6.27E-07,1.53E-06,2.54E-06,3.70E-06,5.07E-06,6.71E-06,8.68E-06,1.10E-05,1.37E-05,1.68E-05,1.90E-05,1.20E-05,0
0,-6.66E-06,-1.31E-05,-1.73E-05,-1.89E-05,-1.89E-05,-1.79E-05,-1.65E-05,-1.49E-05,-1.33E-05,-1.18E-05,-1.03E-05,-8.88E-06,-7.58E-06,-6.36E-06,-5.21E-06,-4.11E-06,-3.03E-06,-1.97E-06,-8.95E-07,2.20E-07,1.40E-06,2.69E-06,4.11E-06,5.70E-06,7.48E-06,9.41E-06,1.14E-05,1.31E-05,1.42E-05,1.29E-05,4.61E-06,0
0,-3.17E-06,-8.14E-06,-1.29E-05,-1.59E-05,-1.74E-05,-1.77E-05,-1.71E-05,-1.62E-05,-1.49E-05,-1.35E-05,-1.21E-05,-1.07E-05,-9.34E-06,-8.00E-06,-6.70E-06,-5.44E-06,-4.20E-06,-2.96E-06,-1.70E-06,-4.18E-07,9.22E-07,2.34E-06,3.84E-06,5.42E-06,7.05E-06,8.63E-06,9.94E-06,1.06E-05,1.05E-05,8.64E-06,1.21E-06,0
0,-8.98E-07,-4.46E-06,-8.80E-06,-1.23E-05,-1.46E-05,-1.59E-05,-1.62E-05,-1.59E-05,-1.52E-05,-1.42E-05,-1.31E-05,-1.18E-05,-1.05E-05,-9.18E-06,-7.85E-06,-6.53E-06,-5.22E-06,-3.90E-06,-2.56E-06,-1.20E-06,1.93E-07,1.62E-06,3.07E-06,4.52E-06,5.88E-06,7.04E-06,7.77E-06,7.81E-06,7.15E-06,5.40E-06,-9.97E-07,0
0,1.13E-07,-2.19E-06,-5.61E-06,-8.93E-06,-1.16E-05,-1.34E-05,-1.44E-05,-1.47E-05,-1.46E-05,-1.40E-05,-1.32E-05,-1.22E-05,-1.11E-05,-9.89E-06,-8.64E-06,-7.37E-06,-6.07E-06,-4.75E-06,-3.42E-06,-2.07E-06,-7.06E-07,6.53E-07,1.98E-06,3.23E-06,4.31E-06,5.11E-06,5.44E-06,5.16E-06,4.49E-06,3.35E-06,-2.04E-06,0
0,7.84E-07,-5.97E-07,-3.17E-06,-6.03E-06,-8.62E-06,-1.07E-05,-1.21E-05,-1.29E-05,-1.32E-05,-1.31E-05,-1.27E-05,-1.20E-05,-1.12E-05,-1.02E-05,-9.08E-06,-7.92E-06,-6.71E-06,-5.47E-06,-4.21E-06,-2.94E-06,-1.67E-06,-4.39E-07,7.28E-07,1.77E-06,2.61E-06,3.14E-06,3.25E-06,2.88E-06,2.42E-06,1.89E-06,-2.74E-06,0
0,1.13E-06,4.39E-07,-1.35E-06,-3.66E-06,-6.01E-06,-8.07E-06,-9.71E-06,-1.09E-05,-1.15E-05,-1.18E-05,-1.17E-05,-1.14E-05,-1.08E-05,-1.01E-05,-9.17E-06,-8.19E-06,-7.13E-06,-6.03E-06,-4.89E-06,-3.75E-06,-2.62E-06,-1.54E-06,-5.45E-07,3.04E-07,9.46E-07,1.31E-06,1.33E-06,1.03E-06,8.80E-07,9.36E-07,-3.12E-06,0
0,1.35E-06,1.16E-06,4.56E-09,-1.77E-06,-3.78E-06,-5.71E-06,-7.39E-06,-8.71E-06,-9.65E-06,-1.02E-05,-1.05E-05,-1.04E-05,-1.01E-05,-9.62E-06,-8.97E-06,-8.20E-06,-7.33E-06,-6.40E-06,-5.43E-06,-4.44E-06,-3.48E-06,-2.56E-06,-1.74E-06,-1.05E-06,-5.59E-07,-2.88E-07,-2.68E-07,-4.30E-07,-2.58E-07,2.91E-07,-3.36E-06,0
0,1.49E-06,1.67E-06,1.02E-06,-2.75E-07,-1.92E-06,-3.63E-06,-5.24E-06,-6.63E-06,-7.72E-06,-8.51E-06,-8.99E-06,-9.20E-06,-9.17E-06,-8.93E-06,-8.52E-06,-7.97E-06,-7.31E-06,-6.57E-06,-5.79E-06,-4.98E-06,-4.19E-06,-3.45E-06,-2.78E-06,-2.24E-06,-1.85E-06,-1.62E-06,-1.55E-06,-1.55E-06,-1.08E-06,-1.22E-07,-3.51E-06,0
0,1.59E-06,2.04E-06,1.79E-06,9.11E-07,-3.76E-07,-1.84E-06,-3.32E-06,-4.68E-06,-5.84E-06,-6.76E-06,-7.43E-06,-7.86E-06,-8.05E-06,-8.05E-06,-7.87E-06,-7.54E-06,-7.09E-06,-6.56E-06,-5.97E-06,-5.35E-06,-4.74E-06,-4.16E-06,-3.64E-06,-3.22E-06,-2.90E-06,-2.68E-06,-2.54E-06,-2.37E-06,-1.65E-06,-3.70E-07,-3.61E-06,0
0,1.66E-06,2.32E-06,2.38E-06,1.85E-06,8.90E-07,-3.20E-07,-1.62E-06,-2.90E-06,-4.06E-06,-5.06E-06,-5.85E-06,-6.44E-06,-6.83E-06,-7.03E-06,-7.06E-06,-6.94E-06,-6.70E-06,-6.37E-06,-5.98E-06,-5.55E-06,-5.10E-06,-4.68E-06,-4.29E-06,-3.97E-06,-3.71E-06,-3.49E-06,-3.27E-06,-2.95E-06,-2.02E-06,-4.87E-07,-3.66E-06,0
0,1.70E-06,2.52E-06,2.84E-06,2.61E-06,1.93E-06,9.72E-07,-1.43E-07,-1.30E-06,-2.42E-06,-3.43E-06,-4.30E-06,-5.01E-06,-5.55E-06,-5.92E-06,-6.13E-06,-6.21E-06,-6.17E-06,-6.03E-06,-5.82E-06,-5.56E-06,-5.28E-06,-5.00E-06,-4.74E-06,-4.50E-06,-4.28E-06,-4.05E-06,-3.77E-06,-3.33E-06,-2.22E-06,-4.97E-07,-3.69E-06,0
0,1.74E-06,2.68E-06,3.20E-06,3.21E-06,2.79E-06,2.06E-06,1.14E-06,1.19E-07,-9.21E-07,-1.92E-06,-2.82E-06,-3.60E-06,-4.25E-06,-4.76E-06,-5.13E-06,-5.37E-06,-5.50E-06,-5.54E-06,-5.50E-06,-5.41E-06,-5.28E-06,-5.13E-06,-4.98E-06,-4.82E-06,-4.63E-06,-4.40E-06,-4.06E-06,-3.52E-06,-2.29E-06,-4.17E-07,-3.70E-06,0
0,1.77E-06,2.79E-06,3.48E-06,3.70E-06,3.50E-06,2.99E-06,2.25E-06,1.38E-06,4.34E-07,-5.11E-07,-1.41E-06,-2.24E-06,-2.96E-06,-3.57E-06,-4.07E-06,-4.46E-06,-4.74E-06,-4.93E-06,-5.05E-06,-5.11E-06,-5.12E-06,-5.09E-06,-5.03E-06,-4.94E-06,-4.79E-06,-4.55E-06,-4.17E-06,-3.57E-06,-2.24E-06,-2.58E-07,-3.69E-06,0
0,1.79E-06,2.89E-06,3.71E-06,4.10E-06,4.10E-06,3.78E-06,3.22E-06,2.49E-06,1.66E-06,7.80E-07,-9.35E-08,-9.28E-07,-1.70E-06,-2.39E-06,-2.98E-06,-3.49E-06,-3.90E-06,-4.23E-06,-4.48E-06,-4.67E-06,-4.80E-06,-4.88E-06,-4.91E-06,-4.88E-06,-4.76E-06,-4.53E-06,-4.12E-06,-3.48E-06,-2.08E-06,-2.89E-08,-3.67E-06,0
0,1.80E-06,2.95E-06,3.89E-06,4.43E-06,4.60E-06,4.45E-06,4.06E-06,3.47E-06,2.76E-06,1.96E-06,1.14E-06,3.13E-07,-4.78E-07,-1.22E-06,-1.89E-06,-2.48E-06,-3.00E-06,-3.44E-06,-3.81E-06,-4.12E-06,-4.35E-06,-4.53E-06,-4.63E-06,-4.66E-06,-4.58E-06,-4.35E-06,-3.94E-06,-3.27E-06,-1.84E-06,2.65E-07,-3.64E-06,0
0,1.81E-06,3.01E-06,4.04E-06,4.71E-06,5.02E-06,5.03E-06,4.79E-06,4.35E-06,3.75E-06,3.05E-06,2.28E-06,1.49E-06,6.94E-07,-7.17E-08,-7.94E-07,-1.46E-06,-2.06E-06,-2.60E-06,-3.07E-06,-3.47E-06,-3.79E-06,-4.05E-06,-4.22E-06,-4.30E-06,-4.26E-06,-4.04E-06,-3.63E-06,-2.96E-06,-1.51E-06,6.19E-07,-3.60E-06,0
0,1.82E-06,3.05E-06,4.16E-06,4.94E-06,5.39E-06,5.54E-06,5.44E-06,5.13E-06,4.65E-06,4.04E-06,3.34E-06,2.59E-06,1.81E-06,1.04E-06,2.83E-07,-4.34E-07,-1.10E-06,-1.71E-06,-2.26E-06,-2.74E-06,-3.14E-06,-3.47E-06,-3.70E-06,-3.82E-06,-3.81E-06,-3.62E-06,-3.22E-06,-2.56E-06,-1.11E-06,1.03E-06,-3.55E-06,0
0,1.82E-06,3.08E-06,4.27E-06,5.15E-06,5.71E-06,5.99E-06,6.02E-06,5.83E-06,5.47E-06,4.95E-06,4.33E-06,3.63E-06,2.88E-06,2.10E-06,1.33E-06,5.83E-07,-1.33E-07,-8.02E-07,-1.41E-06,-1.96E-06,-2.42E-06,-2.80E-06,-3.08E-06,-3.25E-06,-3.26E-06,-3.09E-06,-2.71E-06,-2.07E-06,-6.39E-07,1.50E-06,-3.49E-06,0
0,1.83E-06,3.10E-06,4.35E-06,5.32E-06,5.99E-06,6.39E-06,6.54E-06,6.47E-06,6.21E-06,5.79E-06,5.24E-06,4.59E-06,3.88E-06,3.12E-06,2.35E-06,1.57E-06,8.25E-07,1.14E-07,-5.45E-07,-1.14E-06,-1.65E-06,-2.08E-06,-2.40E-06,-2.59E-06,-2.63E-06,-2.48E-06,-2.11E-06,-1.51E-06,-1.00E-07,2.02E-06,-3.43E-06,0
0,1.83E-06,3.12E-06,4.43E-06,5.48E-06,6.24E-06,6.74E-06,7.00E-06,7.04E-06,6.88E-06,6.55E-06,6.08E-06,5.49E-06,4.81E-06,4.08E-06,3.31E-06,2.53E-06,1.76E-06,1.01E-06,3.20E-07,-3.10E-07,-8.60E-07,-1.31E-06,-1.66E-06,-1.87E-06,-1.92E-06,-1.78E-06,-1.44E-06,-8.69E-07,5.05E-07,2.60E-06,-3.36E-06,0
0,1.83E-06,3.13E-06,4.49E-06,5.61E-06,6.45E-06,7.05E-06,7.41E-06,7.55E-06,7.48E-06,7.23E-06,6.83E-06,6.30E-06,5.66E-06,4.96E-06,4.20E-06,3.42E-06,2.63E-06,1.87E-06,1.16E-06,5.04E-07,-6.78E-08,-5.39E-07,-8.91E-07,-1.11E-06,-1.16E-06,-1.03E-06,-6.93E-07,-1.57E-07,1.18E-06,3.23E-06,-3.29E-06,0
0,1.84E-06,3.13E-06,4.53E-06,5.71E-06,6.63E-06,7.30E-06,7.75E-06,7.98E-06,7.99E-06,7.82E-06,7.49E-06,7.01E-06,6.42E-06,5.74E-06,5.00E-06,4.22E-06,3.43E-06,2.67E-06,1.94E-06,1.27E-06,6.92E-07,2.19E-07,-1.28E-07,-3.30E-07,-3.68E-07,-2.17E-07,1.18E-07,6.29E-07,1.93E-06,3.94E-06,-3.20E-06,0
0,1.83E-06,3.12E-06,4.55E-06,5.77E-06,6.75E-06,7.49E-06,8.01E-06,8.31E-06,8.40E-06,8.29E-06,8.02E-06,7.59E-06,7.04E-06,6.39E-06,5.67E-06,4.90E-06,4.12E-06,3.35E-06,2.62E-06,1.96E-06,1.38E-06,9.24E-07,6.00E-07,4.29E-07,4.30E-07,6.21E-07,9.84E-07,1.49E-06,2.77E-06,4.72E-06,-3.09E-06,0
0,1.82E-06,3.08E-06,4.52E-06,5.77E-06,6.78E-06,7.57E-06,8.15E-06,8.50E-06,8.65E-06,8.60E-06,8.38E-06,8.00E-06,7.48E-06,6.86E-06,6.17E-06,5.42E-06,4.65E-06,3.89E-06,3.18E-06,2.52E-06,1.97E-06,1.53E-06,1.25E-06,1.13E-06,1.20E-06,1.46E-06,1.89E-06,2.42E-06,3.70E-06,5.61E-06,-2.95E-06,0
0,1.80E-06,2.99E-06,4.41E-06,5.66E-06,6.68E-06,7.50E-06,8.11E-06,8.50E-06,8.69E-06,8.69E-06,8.50E-06,8.16E-06,7.68E-06,7.10E-06,6.43E-06,5.71E-06,4.97E-06,4.24E-06,3.54E-06,2.92E-06,2.39E-06,2.00E-06,1.77E-06,1.73E-06,1.88E-06,2.25E-06,2.79E-06,3.41E-06,4.74E-06,6.59E-06,-2.77E-06,0
0,1.71E-06,2.80E-06,4.16E-06,5.37E-06,6.38E-06,7.19E-06,7.80E-06,8.21E-06,8.42E-06,8.44E-06,8.29E-06,7.98E-06,7.55E-06,7.01E-06,6.39E-06,5.71E-06,5.01E-06,4.32E-06,3.67E-06,3.09E-06,2.61E-06,2.27E-06,2.11E-06,2.14E-06,2.40E-06,2.90E-06,3.60E-06,4.38E-06,5.85E-06,7.74E-06,-2.48E-06,0
0,1.56E-06,2.45E-06,3.68E-06,4.81E-06,5.76E-06,6.51E-06,7.09E-06,7.47E-06,7.68E-06,7.71E-06,7.59E-06,7.33E-06,6.94E-06,6.46E-06,5.91E-06,5.31E-06,4.68E-06,4.07E-06,3.48E-06,2.97E-06,2.56E-06,2.29E-06,2.19E-06,2.30E-06,2.66E-06,3.29E-06,4.16E-06,5.16E-06,6.91E-06,8.91E-06,-2.15E-06,0
0,1.03E-06,1.70E-06,2.84E-06,3.85E-06,4.66E-06,5.30E-06,5.78E-06,6.10E-06,6.28E-06,6.31E-06,6.22E-06,6.01E-06,5.71E-06,5.33E-06,4.90E-06,4.42E-06,3.92E-06,3.43E-06,2.97E-06,2.57E-06,2.26E-06,2.07E-06,2.04E-06,2.20E-06,2.60E-06,3.29E-06,4.26E-06,5.45E-06,7.65E-06,1.02E-05,-1.24E-06,0
0,6.95E-07,9.87E-07,1.73E-06,2.39E-06,2.90E-06,3.30E-06,3.60E-06,3.81E-06,3.92E-06,3.95E-06,3.90E-06,3.79E-06,3.62E-06,3.41E-06,3.16E-06,2.88E-06,2.60E-06,2.33E-06,2.07E-06,1.85E-06,1.68E-06,1.60E-06,1.62E-06,1.77E-06,2.09E-06,2.62E-06,3.40E-06,4.37E-06,6.52E-06,9.05E-06,-1.14E-06,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
